denisake,Tue, 31 Jan 2023 01:19:26 EET
Method,CogC,v(G)
com.socialnetwork.app.HelloApplication.main(String[]),0,1
com.socialnetwork.app.HelloApplication.start(Stage),0,1
com.socialnetwork.app.HelloController.onHelloButtonClick(),0,1
com.socialnetwork.app.Main.main(String[]),0,1
com.socialnetwork.app.Main.start(Stage),0,1
com.socialnetwork.app.controllers.LoginInterfaceController.onSignInButtonActionLogin(),2,3
com.socialnetwork.app.controllers.LoginInterfaceController.onSignInButtonActionRegister(),0,1
com.socialnetwork.app.controllers.LoginInterfaceController.onSignUpButtonActionLogin(),0,1
com.socialnetwork.app.controllers.LoginInterfaceController.onSignUpButtonActionRegister(),1,2
com.socialnetwork.app.controllers.LoginInterfaceController.setService(AppService),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.initLists(),4,4
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.initialize(),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onAcceptButton(),2,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onAddFriendButton(),2,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onFriendsButton(),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onLogoutButtonAction(),1,2
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onMessagesButton(),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onRejectFriendrequestButton(),2,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onRemoveAccountAction(),2,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onRemoveFriendButton(),2,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onSearchButton(),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onSearchUserTextField(),4,4
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onSendMessageButton(),1,2
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onSettingsButton(),0,1
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.onUserFromUserMessageListClick(),4,3
"com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.setService(AppService, User)",0,1
"com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.setWrappingTextForColumns(TableColumn<E, String>)",5,3
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController.update(),0,1
com.socialnetwork.app.controllers.UserMainInterfaceController.initLists(),2,3
com.socialnetwork.app.controllers.UserMainInterfaceController.initialize(),0,1
com.socialnetwork.app.controllers.UserMainInterfaceController.onAcceptButton(),2,3
com.socialnetwork.app.controllers.UserMainInterfaceController.onAddFriendButton(),2,3
com.socialnetwork.app.controllers.UserMainInterfaceController.onLogoutButtonAction(),1,2
com.socialnetwork.app.controllers.UserMainInterfaceController.onRejectFriendrequestButton(),2,3
com.socialnetwork.app.controllers.UserMainInterfaceController.onRemoveAccountAction(),2,3
com.socialnetwork.app.controllers.UserMainInterfaceController.onRemoveFriendButton(),2,3
